How are you?,2023-05-03T10:16:00Z,Alice
I'm doing great, thanks!,2023-05-03T10:16:45Z,John
Same here, enjoying the day.,2023-05-03T10:17:15Z,Bob
Hello, world!,2023-05-03T12:00:00Z,John Doe
Hi all!,2023-05-03T12:00:00Z,Vincent Candelario
Hello, world!,2023-05-03T12:00:00Z,John Doe
Same here, enjoying the day.,2023-05-03T10:17:15Z,Bob
test,2023-05-03T12:00:00Z,Vincent Candelario
what is going on,2023-05-03T12:00:00Z,Vincent Candelario
oh this is just a simulation,2023-05-03T12:00:00Z,Vincent Candelario
what in the world is this,2023-05-03T12:00:00Z,Vincent CandelarioHello,2023-05-03T12:00:00Z,Vincent Candelario
oh why did it append there,2023-05-03T12:00:00Z,Vincent Candelario
I think this is olivias account,2023-05-03T12:00:00Z,Olivia Jerdee
yea this works perfectly,2023-05-03T12:00:00Z,Olivia Jerdee
hopefully this doesn't lead to any race condition errors,2023-05-03T12:00:00Z,Vincent Candelario
may need to create another program to help with that,2023-05-03T12:00:00Z,Olivia Jerdee
testing,2023-05-03T12:00:00Z,Olivia Jerdee
oh my god,2023-05-03T12:00:00Z,Olivia Jerdee
what,2023-05-03T12:00:00Z,Olivia Jerdee
